u v
4.448897795591181814e-01 4.915356512972012260e-01
4.438095512227370198e-01 4.929859719438877130e-01
4.428857715430861153e-01 4.942375130639660163e-01
4.423258174093120942e-01 4.949899799599197792e-01
4.408817635270540491e-01 4.969487529895657008e-01
4.408481332591764335e-01 4.969939879759518453e-01
4.394268889512885634e-01 4.989979959919839114e-01
4.388777555110219830e-01 4.997805471111168019e-01
4.380145119916832863e-01 5.010020040080159776e-01
4.368737474949899169e-01 5.026296172366971904e-01
4.366079892356124481e-01 5.030060120240480437e-01
4.352439182586849697e-01 5.050100200400801098e-01
4.348697394789579063e-01 5.055758260626541656e-01
4.339133247787178016e-01 5.070140280561121759e-01
4.328657314629258401e-01 5.085994409253264958e-01
4.325875307411001236e-01 5.090180360721442421e-01
4.313131327678195737e-01 5.110220440881763082e-01
4.308617234468937185e-01 5.117531699238350162e-01
4.300732027535166813e-01 5.130260521042083743e-01
4.288577154308617079e-01 5.149943064186193187e-01
4.288355577477312996e-01 5.150300601202404405e-01
4.276906311804876681e-01 5.170340681362725066e-01
4.268537074148296417e-01 5.184989131128235895e-01
4.265455871737542370e-01 5.190380761523045727e-01
4.254701464366126840e-01 5.210420841683366389e-01
4.248496993987975756e-01 5.222303492341713316e-01
4.244254863521312870e-01 5.230460921843687050e-01
4.234451732513490052e-01 5.250501002004007711e-01
4.228456913827655095e-01 5.263221920905398754e-01
4.225040674360714954e-01 5.270541082164328373e-01
4.216483822759120592e-01 5.290581162324649034e-01
4.208416833667334433e-01 5.309741050152398945e-01
4.208052363464050982e-01 5.310621242484969695e-01
4.201037010307321351e-01 5.330661322645290356e-01
4.194370035428103272e-01 5.350701402805611018e-01
4.188376753507013772e-01 5.369904873724393735e-01
4.188125228306545655e-01 5.370741482965931679e-01
4.183498207631426435e-01 5.390781563126252340e-01
4.179593254321842810e-01 5.410821643286573002e-01
4.176517331531031108e-01 5.430861723446893663e-01
4.174403260695292994e-01 5.450901803607214324e-01
4.173423698853233610e-01 5.470941883767534986e-01
4.173825527791941159e-01 5.490981963927854537e-01
4.176048187018076563e-01 5.511022044088176308e-01
4.181430677668227514e-01 5.531062124248496970e-01
4.188376753507013772e-01 5.543776380303063744e-01
4.194669146118464864e-01 5.531062124248496970e-01
4.208416833667334433e-01 5.522800309233372174e-01
4.217742335289755840e-01 5.511022044088176308e-01
4.228456913827655095e-01 5.503052868892684968e-01
4.239129494274136434e-01 5.490981963927855647e-01
4.248496993987975756e-01 5.483459802721470933e-01
4.260129881364318472e-01 5.470941883767534986e-01
4.268537074148296417e-01 5.463918704730957865e-01
4.280982548442773261e-01 5.450901803607214324e-01
4.288577154308617079e-01 5.444402716177190182e-01
4.301764521765830684e-01 5.430861723446893663e-01
4.308617234468937740e-01 5.424901701371264151e-01
4.322508178444782190e-01 5.410821643286573002e-01
4.328657314629258401e-01 5.405410981005536186e-01
4.343229498411916856e-01 5.390781563126252340e-01
4.348697394789579063e-01 5.385928092617477958e-01
4.363937274324036220e-01 5.370741482965931679e-01
4.368737474949899724e-01 5.366451614137015547e-01
4.384636740814874534e-01 5.350701402805611018e-01
